Question,Answer
"In the domain of Natural Language Processing, I know about the concept of part of speech tagging, now I want to learn about the concept of course introduction, what concept path should I follow?",part of speech tagging;course introduction
"In the domain of Natural Language Processing, I know about the concept of bayes theorem, now I want to learn about the concept of Visual QA, what concept path should I follow?",bayes theorem;question answering;Visual QA
"In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of sentiment analysis, what concept path should I follow?",loss function;classification;sentiment analysis
"In the domain of Natural Language Processing, I know about the concept of backpropagation, now I want to learn about the concept of pointer networks, what concept path should I follow?",backpropagation;neural networks;training neural networks;pointer networks
"In the domain of Natural Language Processing, I know about the concept of vector representations, now I want to learn about the concept of thesaurus-based similarity, what concept path should I follow?",vector representations;structured learning;vector semantics;semantic similarity;thesaurus-based similarity
"In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of word embedding, what concept path should I follow?",loss function;machine learning resources;word embedding
"In the domain of Natural Language Processing, I know about the concept of syntax, now I want to learn about the concept of transition based dependency parsing, what concept path should I follow?",syntax;shift-reduce parsing;transition based dependency parsing
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of scientific article summarization, what concept path should I follow?",natural language processing intro;vector representations;structured learning;sentence representations;text summarization;neural summarization;scientific article summarization
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of thesaurus-based similarity, what concept path should I follow?",natural language processing intro;vector representations;structured learning;vector semantics;semantic similarity;thesaurus-based similarity
"In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of game playing in ai, what concept path should I follow?",optimization;machine learning resources;game playing in ai
"In the domain of Natural Language Processing, I know about the concept of parsing, now I want to learn about the concept of dependency parsing, what concept path should I follow?",parsing;dependency parsing
"In the domain of Natural Language Processing, I know about the concept of word distributions, now I want to learn about the concept of kernels, what concept path should I follow?",word distributions;vector representations;structured learning;vector semantics;kernels
"In the domain of Natural Language Processing, I know about the concept of n-gram models, now I want to learn about the concept of social network extraction, what concept path should I follow?",n-gram models;word distributions;vector representations;structured learning;sentence representations;information extraction;social network extraction
"In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of log-linear models, what concept path should I follow?",machine learning resources;log-linear models
"In the domain of Natural Language Processing, I know about the concept of n-gram models, now I want to learn about the concept of sentence simplification, what concept path should I follow?",n-gram models;word distributions;vector representations;structured learning;sentence representations;sentence simplification
"In the domain of Natural Language Processing, I know about the concept of sentence representations, now I want to learn about the concept of document representation, what concept path should I follow?",sentence representations;document representation
"In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of evaluation of language modeling, what concept path should I follow?",probabilities;structured learning;word distributions;language modeling;evaluation of language modeling
"In the domain of Natural Language Processing, I know about the concept of vector representations, now I want to learn about the concept of structured learning, what concept path should I follow?",vector representations;structured learning
"In the domain of Natural Language Processing, I know about the concept of n-gram models, now I want to learn about the concept of scientific article summarization, what concept path should I follow?",n-gram models;word distributions;vector representations;structured learning;sentence representations;text summarization;neural summarization;scientific article summarization
"In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of linear discriminant analysis, what concept path should I follow?",loss function;machine learning resources;linear discriminant analysis
"In the domain of Natural Language Processing, I know about the concept of structured learning, now I want to learn about the concept of text mining, what concept path should I follow?",structured learning;word distributions;vector representations;text mining
"In the domain of Natural Language Processing, I know about the concept of latent variable models, now I want to learn about the concept of expectation maximization algorithm, what concept path should I follow?",latent variable models;expectation maximization algorithm
"In the domain of Natural Language Processing, I know about the concept of bilingual word embeddings, now I want to learn about the concept of unsupervised machine translation, what concept path should I follow?",bilingual word embeddings;monolingual word embeddings;unsupervised machine translation
"In the domain of Natural Language Processing, I know about the concept of recurrent neural networks, now I want to learn about the concept of neural turing machine, what concept path should I follow?",recurrent neural networks;neural turing machine
"In the domain of Natural Language Processing, I know about the concept of semantic similarity, now I want to learn about the concept of thesaurus-based similarity, what concept path should I follow?",semantic similarity;thesaurus-based similarity
"In the domain of Natural Language Processing, I know about the concept of word distributions, now I want to learn about the concept of information extraction, what concept path should I follow?",word distributions;vector representations;structured learning;sentence representations;information extraction
"In the domain of Natural Language Processing, I know about the concept of n-gram models, now I want to learn about the concept of topic modeling, what concept path should I follow?",n-gram models;word distributions;topic modeling
"In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of computation theory, what concept path should I follow?",linguistics basics;chomsky hierarchy;computation theory
"In the domain of Natural Language Processing, I know about the concept of speech signal analysis, now I want to learn about the concept of speech synthesis, what concept path should I follow?",speech signal analysis;speech processing;speech synthesis
"In the domain of Natural Language Processing, I know about the concept of syntax, now I want to learn about the concept of penn treebank, what concept path should I follow?",syntax;penn treebank
"In the domain of Natural Language Processing, I know about the concept of neural networks, now I want to learn about the concept of convolutional neural networks, what concept path should I follow?",neural networks;convolutional neural networks
"In the domain of Natural Language Processing, I know about the concept of word distributions, now I want to learn about the concept of word sense disambiguation, what concept path should I follow?",word distributions;vector representations;structured learning;vector semantics;semantic similarity;word sense disambiguation
"In the domain of Natural Language Processing, I know about the concept of deep learning introduction, now I want to learn about the concept of neural machine translation, what concept path should I follow?",deep learning introduction;neural machine translation
"In the domain of Natural Language Processing, I know about the concept of reinforcement learning, now I want to learn about the concept of robotic locomotion, what concept path should I follow?",reinforcement learning;robotics;robotic locomotion
"In the domain of Natural Language Processing, I know about the concept of text summarization, now I want to learn about the concept of neural summarization, what concept path should I follow?",text summarization;neural summarization
"In the domain of Natural Language Processing, I know about the concept of n-gram models, now I want to learn about the concept of text mining, what concept path should I follow?",n-gram models;word distributions;vector representations;structured learning;sentence representations;text mining
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of kernels, what concept path should I follow?",natural language processing intro;vector representations;structured learning;vector semantics;kernels
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of vector representations, what concept path should I follow?",natural language processing intro;vector representations
"In the domain of Natural Language Processing, I know about the concept of random walks and harmonic functions, now I want to learn about the concept of recursive neural networks, what concept path should I follow?",random walks and harmonic functions;semi-supervised learning;neural networks;training neural networks;recursive neural networks
"In the domain of Natural Language Processing, I know about the concept of word distributions, now I want to learn about the concept of word embedding variations, what concept path should I follow?",word distributions;vector representations;structured learning;vector semantics;word embedding;word embedding variations
"In the domain of Natural Language Processing, I know about the concept of backpropagation, now I want to learn about the concept of convolutional neural networks, what concept path should I follow?",backpropagation;neural networks;convolutional neural networks
"In the domain of Natural Language Processing, I know about the concept of multi-agent systems, now I want to learn about the concept of game playing in ai, what concept path should I follow?",multi-agent systems;game playing in ai
"In the domain of Natural Language Processing, I know about the concept of word distributions, now I want to learn about the concept of sentiment analysis, what concept path should I follow?",word distributions;vector representations;structured learning;sentence representations;sentiment analysis
"In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of syntaxnet, what concept path should I follow?",linguistics basics;word embedding;syntaxnet
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of word segmentation, what concept path should I follow?",natural language processing intro;word segmentation
"In the domain of Natural Language Processing, I know about the concept of morphology and lexicon, now I want to learn about the concept of query expansion, what concept path should I follow?",morphology and lexicon;query expansion
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of text generation, what concept path should I follow?",natural language processing intro;vector representations;structured learning;word distributions;language modeling;evaluation of language modeling;text generation
"In the domain of Natural Language Processing, I know about the concept of word embedding, now I want to learn about the concept of multilingual word embedding, what concept path should I follow?",word embedding;word embedding variations;multilingual word embedding
"In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of expectation maximization algorithm, what concept path should I follow?",loss function;latent variable models;expectation maximization algorithm
"In the domain of Natural Language Processing, I know about the concept of classification, now I want to learn about the concept of sentiment analysis, what concept path should I follow?",classification;sentiment analysis
"In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of social media analysis, what concept path should I follow?",probabilities;structured learning;sentence representations;sentiment analysis;social media analysis
"In the domain of Natural Language Processing, I know about the concept of n-gram models, now I want to learn about the concept of context free grammars, what concept path should I follow?",n-gram models;word distributions;vector representations;structured learning;vector semantics;context free grammars
"In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of spectral clustering, what concept path should I follow?",machine learning resources;random walks and harmonic functions;Unsupervised learning;spectral clustering
"In the domain of Natural Language Processing, I know about the concept of word distributions, now I want to learn about the concept of information extraction, what concept path should I follow?",word distributions;vector representations;structured learning;sentence representations;information extraction
"In the domain of Natural Language Processing, I know about the concept of vector representations, now I want to learn about the concept of text generation, what concept path should I follow?",vector representations;structured learning;word distributions;language modeling;evaluation of language modeling;text generation
"In the domain of Natural Language Processing, I know about the concept of sentence representations, now I want to learn about the concept of summarization evaluation, what concept path should I follow?",sentence representations;text summarization;summarization evaluation
"In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of memory networks, what concept path should I follow?",loss function;machine learning resources;semi-supervised learning;neural networks;memory networks
"In the domain of Natural Language Processing, I know about the concept of structured learning, now I want to learn about the concept of text mining, what concept path should I follow?",structured learning;word distributions;vector representations;text mining
"In the domain of Natural Language Processing, I know about the concept of sentence representations, now I want to learn about the concept of summarization evaluation, what concept path should I follow?",sentence representations;text summarization;summarization evaluation
"In the domain of Natural Language Processing, I know about the concept of wordnet, now I want to learn about the concept of lexical semantics, what concept path should I follow?",wordnet;lexical semantics
"In the domain of Natural Language Processing, I know about the concept of Unsupervised learning, now I want to learn about the concept of tsne, what concept path should I follow?",Unsupervised learning;tsne
"In the domain of Natural Language Processing, I know about the concept of transferring NMT model, now I want to learn about the concept of multilingual model, what concept path should I follow?",transferring NMT model;multilingual model
"In the domain of Natural Language Processing, I know about the concept of information retrieval, now I want to learn about the concept of query expansion, what concept path should I follow?",information retrieval;toolkits for information retrieval;query expansion
"In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of robotics, what concept path should I follow?",loss function;machine learning resources;random walks and harmonic functions;Unsupervised learning;reinforcement learning;robotics
"In the domain of Natural Language Processing, I know about the concept of structured learning, now I want to learn about the concept of kernels, what concept path should I follow?",structured learning;word distributions;vector representations;kernels
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of multilingual word embedding, what concept path should I follow?",natural language processing intro;vector representations;structured learning;word distributions;word embedding;word embedding variations;multilingual word embedding
"In the domain of Natural Language Processing, I know about the concept of logic and logical agents, now I want to learn about the concept of agent-based view of ai, what concept path should I follow?",logic and logical agents;agent-based view of ai
"In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of linear discriminant analysis, what concept path should I follow?",machine learning resources;linear discriminant analysis
"In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of log-linear models, what concept path should I follow?",machine learning resources;log-linear models
"In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of bayes theorem, what concept path should I follow?",probabilities;bayes theorem
"In the domain of Natural Language Processing, I know about the concept of backpropagation, now I want to learn about the concept of neural parsing, what concept path should I follow?",backpropagation;neural networks;neural parsing
"In the domain of Natural Language Processing, I know about the concept of syntax, now I want to learn about the concept of syntax based machine translation, what concept path should I follow?",syntax;syntax based machine translation
"In the domain of Natural Language Processing, I know about the concept of n-gram models, now I want to learn about the concept of evaluation of text classification, what concept path should I follow?",n-gram models;word distributions;vector representations;evaluation of text classification
"In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of Variations of GANs, what concept path should I follow?",machine learning resources;loss function;Variations of GANs
"In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of robotic locomotion, what concept path should I follow?",optimization;machine learning resources;random walks and harmonic functions;Unsupervised learning;reinforcement learning;robotics;robotic locomotion
"In the domain of Natural Language Processing, I know about the concept of word distributions, now I want to learn about the concept of structured learning, what concept path should I follow?",word distributions;vector representations;structured learning
"In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of linear regression, what concept path should I follow?",machine learning resources;linear regression
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of topic modeling, what concept path should I follow?",natural language processing intro;vector representations;structured learning;word distributions;topic modeling
"In the domain of Natural Language Processing, I know about the concept of vector representations, now I want to learn about the concept of bag of words model, what concept path should I follow?",vector representations;bag of words model
"In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of recursive neural networks, what concept path should I follow?",machine learning resources;semi-supervised learning;neural networks;training neural networks;recursive neural networks
"In the domain of Natural Language Processing, I know about the concept of Unsupervised learning, now I want to learn about the concept of Autoencoders, what concept path should I follow?",Unsupervised learning;neural networks;Autoencoders
"In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of word embedding, what concept path should I follow?",loss function;machine learning resources;word embedding
"In the domain of Natural Language Processing, I know about the concept of text similarity, now I want to learn about the concept of social network extraction, what concept path should I follow?",text similarity;information extraction;social network extraction
"In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of neural language modeling, what concept path should I follow?",machine learning resources;semi-supervised learning;neural networks;neural language modeling
"In the domain of Natural Language Processing, I know about the concept of vector semantics, now I want to learn about the concept of automated essay scoring, what concept path should I follow?",vector semantics;semantic similarity;automated essay scoring
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of statistical parsing, what concept path should I follow?",natural language processing intro;parsing;statistical parsing
"In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of document representation, what concept path should I follow?",linguistics basics;document representation
"In the domain of Natural Language Processing, I know about the concept of machine translation, now I want to learn about the concept of neural machine translation, what concept path should I follow?",machine translation;machine translation techniques;neural machine translation
"In the domain of Natural Language Processing, I know about the concept of monte carlo methods, now I want to learn about the concept of latent dirichlet allocation, what concept path should I follow?",monte carlo methods;latent dirichlet allocation
"In the domain of Natural Language Processing, I know about the concept of word distributions, now I want to learn about the concept of semantic similarity, what concept path should I follow?",word distributions;vector representations;structured learning;vector semantics;semantic similarity
"In the domain of Natural Language Processing, I know about the concept of information retrieval, now I want to learn about the concept of citation networks, what concept path should I follow?",information retrieval;toolkits for information retrieval;information extraction;social network extraction;citation networks
"In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of stack lstm, what concept path should I follow?",optimization;machine learning resources;semi-supervised learning;neural networks;training neural networks;stack lstm
"In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of word embedding, what concept path should I follow?",machine learning resources;word embedding
"In the domain of Natural Language Processing, I know about the concept of Sampling, now I want to learn about the concept of gibbs sampling, what concept path should I follow?",Sampling;gibbs sampling
"In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of sentence boundary recognition, what concept path should I follow?",optimization;machine learning resources;loss function;classification;sentence boundary recognition
"In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of Meta-Learning, what concept path should I follow?",probabilities;Meta-Learning
"In the domain of Natural Language Processing, I know about the concept of semantic similarity, now I want to learn about the concept of sentence simplification, what concept path should I follow?",semantic similarity;sentence simplification
"In the domain of Natural Language Processing, I know about the concept of sentence representations, now I want to learn about the concept of automated essay scoring, what concept path should I follow?",sentence representations;automated essay scoring
"In the domain of Natural Language Processing, I know about the concept of toolkits for information retrieval, now I want to learn about the concept of text mining, what concept path should I follow?",toolkits for information retrieval;text mining
"In the domain of Natural Language Processing, I know about the concept of vector representations, now I want to learn about the concept of scientific article summarization, what concept path should I follow?",vector representations;structured learning;sentence representations;text summarization;neural summarization;scientific article summarization
"In the domain of Natural Language Processing, I know about the concept of information retrieval, now I want to learn about the concept of search engines, what concept path should I follow?",information retrieval;search engines
"In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of training neural networks, what concept path should I follow?",machine learning resources;semi-supervised learning;neural networks;training neural networks
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of evaluation of dependency parsing, what concept path should I follow?",natural language processing intro;parsing;dependency parsing;evaluation of dependency parsing
"In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of latent variable models, what concept path should I follow?",probabilities;latent variable models
"In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of relation extraction, what concept path should I follow?",probabilities;structured learning;vector semantics;semantic similarity;relation extraction
"In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of sentence boundary recognition, what concept path should I follow?",linguistics basics;sentence boundary recognition
"In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of topic modeling, what concept path should I follow?",probabilities;structured learning;word distributions;topic modeling
"In the domain of Natural Language Processing, I know about the concept of parsing, now I want to learn about the concept of first-order logic, what concept path should I follow?",parsing;semi supervised learning;first-order logic
"In the domain of Natural Language Processing, I know about the concept of n-gram models, now I want to learn about the concept of recommendation system, what concept path should I follow?",n-gram models;word distributions;vector representations;structured learning;vector semantics;recommendation system
"In the domain of Natural Language Processing, I know about the concept of latent variable models, now I want to learn about the concept of linear discriminant analysis, what concept path should I follow?",latent variable models;linear discriminant analysis
"In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of speech processing, what concept path should I follow?",probabilities;speech processing
"In the domain of Natural Language Processing, I know about the concept of vector representations, now I want to learn about the concept of word embedding variations, what concept path should I follow?",vector representations;structured learning;word distributions;word embedding;word embedding variations
"In the domain of Natural Language Processing, I know about the concept of text similarity, now I want to learn about the concept of citation networks, what concept path should I follow?",text similarity;information extraction;social network extraction;citation networks
"In the domain of Natural Language Processing, I know about the concept of word distributions, now I want to learn about the concept of nlp for biology, what concept path should I follow?",word distributions;vector representations;structured learning;vector semantics;bio text mining;nlp for biology
"In the domain of Natural Language Processing, I know about the concept of parsing, now I want to learn about the concept of first-order logic, what concept path should I follow?",parsing;semi supervised learning;first-order logic
"In the domain of Natural Language Processing, I know about the concept of seq2seq, now I want to learn about the concept of neural summarization, what concept path should I follow?",seq2seq;neural summarization
"In the domain of Natural Language Processing, I know about the concept of n-gram models, now I want to learn about the concept of information extraction, what concept path should I follow?",n-gram models;word distributions;vector representations;structured learning;sentence representations;information extraction
"In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of text to speech generation, what concept path should I follow?",linguistics basics;speech processing;text to speech generation
"In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of neural networks, what concept path should I follow?",optimization;machine learning resources;semi-supervised learning;neural networks
"In the domain of Natural Language Processing, I know about the concept of multilingual machine translation, now I want to learn about the concept of universal cross-language representation, what concept path should I follow?",multilingual machine translation;universal cross-language representation
"In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of syntaxnet, what concept path should I follow?",loss function;machine learning resources;semi-supervised learning;neural networks;syntaxnet
"In the domain of Natural Language Processing, I know about the concept of vector semantics, now I want to learn about the concept of kernels, what concept path should I follow?",vector semantics;kernels
"In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of computational phonology, what concept path should I follow?",linguistics basics;computational phonology
"In the domain of Natural Language Processing, I know about the concept of structured learning, now I want to learn about the concept of social network extraction, what concept path should I follow?",structured learning;sentence representations;information extraction;social network extraction
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of named entity recognition, what concept path should I follow?",natural language processing intro;named entity recognition
"In the domain of Natural Language Processing, I know about the concept of structured learning, now I want to learn about the concept of scientific article summarization, what concept path should I follow?",structured learning;sentence representations;text summarization;neural summarization;scientific article summarization
"In the domain of Natural Language Processing, I know about the concept of extractive summarization, now I want to learn about the concept of Multi-News dataset creation, what concept path should I follow?",extractive summarization;Multi-News dataset creation
"In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of semi-supervised learning, what concept path should I follow?",optimization;machine learning resources;semi-supervised learning
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of transition based dependency parsing, what concept path should I follow?",natural language processing intro;parsing;dependency parsing;transition based dependency parsing
"In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of social media analysis, what concept path should I follow?",loss function;classification;sentiment analysis;social media analysis
"In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of neural parsing, what concept path should I follow?",optimization;machine learning resources;semi-supervised learning;neural networks;neural parsing
"In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of loss function, what concept path should I follow?",optimization;machine learning resources;loss function
"In the domain of Natural Language Processing, I know about the concept of structured learning, now I want to learn about the concept of character level language models, what concept path should I follow?",structured learning;word distributions;character level language models
"In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of recommendation system, what concept path should I follow?",linguistics basics;recommendation system
"In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of kernel function, what concept path should I follow?",machine learning resources;kernel function
"In the domain of Natural Language Processing, I know about the concept of word embedding, now I want to learn about the concept of multilingual word embedding, what concept path should I follow?",word embedding;word embedding variations;multilingual word embedding
"In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of latent dirichlet allocation, what concept path should I follow?",probabilities;monte carlo methods;latent dirichlet allocation
"In the domain of Natural Language Processing, I know about the concept of parsing, now I want to learn about the concept of event detection, what concept path should I follow?",parsing;event detection
"In the domain of Natural Language Processing, I know about the concept of backpropagation, now I want to learn about the concept of stack lstm, what concept path should I follow?",backpropagation;neural networks;training neural networks;stack lstm
"In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of speech synthesis, what concept path should I follow?",loss function;speech processing;speech synthesis
"In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of query expansion, what concept path should I follow?",linguistics basics;morphology and lexicon;query expansion
"In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of vector semantics, what concept path should I follow?",probabilities;structured learning;vector semantics
